id,invoice_type,source_invoice_id,source_cn_id,serial_id,shipment_id,organization_id,invoice_currency,status,is_active,invoice_number,finance_invoice_id,remarks,document_urls,proforma_email_count,sales_email_count,amendment_reason,invoice_total,inr_invoice_total,payment_mode,interest_percent,selected_credit_days,credit_source,exchange_rate_source,exchange_rate_state,payment_term,payment_method,rejection_reason,rejected_by_user_id,is_fx_locked,fx_locked_at,processing,entity_id,language,invoice_approval_type,credit_note_type,incident_number,invoice_trigger_date,created_at,updated_at,old_serial_id,search_vector,last_processed_at,billing_entity_validity_id,invoice_generation_failed_reason
491d38ee-2572-4a62-81f9-bb03d76a38b4,invoice,c511a9d5-b992-412b-b512-567560e4885a,,10298482,f9fa84bc-b6e9-4666-ba35-4d33391ef04f,,CNY,approved,TRUE,SO/2526/10298482,4jomb,[],[],0,0,,25700,0,cash,0,0,,icici,eta,,bl_against_cash,,,FALSE,,FALSE,d39c9a59-93e3-4823-b85f-c72139cf138f,english,,,,21:25.1,18:10.7,30:16.2,,'10298482':1A 'bl':2B 'cash':4B,,7,
eaae00ee-1b4d-40ec-983d-c77dd571313c,invoice,,,10297849,f9fa84bc-b6e9-4666-ba35-4d33391ef04f,,INR,approved,TRUE,SO/2526/10297849,5kdwK,['PO NO. 6200001212 INVNO. HL-IN250719A-5&B HBL NO. CUCN07250786  \n'],[],0,0,,5579050,0,cash,0,0,,icici,eta,,,,,FALSE,,FALSE,ee09645b-5f34-4d2e-8ec7-6ac83a7946e1,english,,,,22:33.9,50:40.5,33:53.5,,'10297849':1A,,11,
c511a9d5-b992-412b-b512-567560e4885a,invoice,,,10296964,f9fa84bc-b6e9-4666-ba35-4d33391ef04f,,CNY,finance_rejected,TRUE,SO/2526/10296964,owl8G,[],[],0,0,,25700,0,cash,0,0,,icici,eta,,bl_against_cash,ok for change in billing party,,FALSE,,FALSE,d39c9a59-93e3-4823-b85f-c72139cf138f,english,,,,49:37.5,14:50.6,18:11.1,,'10296964':1A 'bl':2B 'cash':4B,,7,
